jpg_resolves_now,reason,year,half_year,trip,stem,verdict,jpg_path,xmp_path
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7163,ok,data/jpg/2019.4/_D8S7163.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7163.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7171,ok,data/jpg/2019.4/_D8S7171.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7171.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7351,ok,data/jpg/2019.4/_D8S7351.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7351.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7355,ok,data/jpg/2019.4/_D8S7355.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7355.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7366,ok,data/jpg/2019.4/_D8S7366.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7366.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7374,ok,data/jpg/2019.4/_D8S7374.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7374.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7380,ok,data/jpg/2019.4/_D8S7380.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7380.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7386,ok,data/jpg/2019.4/_D8S7386.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7386.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7390,ok,data/jpg/2019.4/_D8S7390.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7390.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7393,ok,data/jpg/2019.4/_D8S7393.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7393.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7451,ok,data/jpg/2019.4/_D8S7451.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7451.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7455,ok,data/jpg/2019.4/_D8S7455.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7455.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7464,ok,data/jpg/2019.4/_D8S7464.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7464.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7469,ok,data/jpg/2019.4/_D8S7469.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7469.xmp
